DISTRICTCODE,CHILDREN,FEMALE,ELDERLY,FHEAD,FAMILYSIZE,NOELECTRIC,LOWEDU,GROWTH,POVERTY,ILLITERATE,NOTRAINING,DPRONE,RENTED,NOSEWER,TAPWATER,POPULATION,PROVINCE,Sustainability_Index
6411,0.08584481615,0.4802888512,0.04774887628,0.1261230717,4.601118834,0.061366333280000004,0.3362797348,0.005545098910000001,0.11289999999999999,0.07468160567,0.9930496694,0.7755551787999999,0.04221054416,0.17952195289999998,0.0,26305,Kalimantan Timur,0.6922125322735
8172,0.12171861169999999,0.5078303861,0.03531047657,0.1654557711,5.33270916,0.05655007116,0.1759857393,0.02902696651,0.24,0.03507060498,0.9983521834,0.9916111153,0.02808778369,0.1655306719,0.03707587447,71732,Maluku,0.69244670902
3508,0.06965132351,0.5118094808,0.07487703083000001,0.1871690645,3.559868193,0.00155997127,0.4870454111,0.00316784499,0.10869999999999999,0.1270688712,0.9900732224,0.9719308252000001,0.011947180879999998,0.19819538120000002,0.08805591157,1036823,Jawa Timur,0.692572045715
7322,0.1029434733,0.49811599479999996,0.05215342765,0.1429296098,4.102521659,0.021412075659999998,0.39609184399999997,0.008735958529999999,0.1433,0.1011473156,0.9961954853,0.9624354234000001,0.02414865641,0.1975277329,0.07264620683,308001,Sulawesi Selatan,0.692670952294
7409,0.1069888392,0.4964547026,0.04075073086,0.1526557926,4.315697755,0.1517496166,0.2921978785,0.01600208601,0.1558,0.09092224492999999,0.9901017704999999,0.9632650216,0.025094102889999997,0.2735257215,0.1378084483,62088,Sulawesi Tenggara,0.6930037478255
7210,0.08229082290999999,0.4851219941,0.04303328748,0.1147757479,3.950544334,0.05622809542,0.3536458708,0.00789889415,0.1266,0.09005277167999999,0.9939386756999999,0.7782706601,0.018421008080000002,0.382557608,0.044020791360000006,234588,Sulawesi Tengah,0.6930237428159999
3210,0.08083171674999999,0.5000582893,0.07887755812,0.15927312329999999,3.262596661,0.0,0.4812215854,0.00486130627,0.126,0.03979831215,0.9964345718,0.9721223465,0.0333092537,0.11233971990000001,0.04529981886,1193725,Jawa Barat,0.6931069791395001
6109,0.09544071407,0.4848564763,0.037757379040000004,0.09149358105,4.116063041,0.1459764116,0.441041421,0.011605380839999999,0.0646,0.08457005735999999,0.9905437845999999,0.8987997078,0.022982987160000003,0.26362592630000004,0.1029746373,197683,Kalimantan Barat,0.693177923386
8109,0.11197183100000001,0.48753684900000005,0.02384539797,0.144515193,4.92141533,0.1299266543,0.3036312393,0.0166164285,0.16829999999999998,0.06292532689,0.9613927622,0.8923994519,0.020794712660000002,0.46723623760000005,0.1253324736,61330,Maluku,0.6936076789315
7605,0.1010780194,0.48094890069999996,0.01835069127,0.09138212224,4.250433612,0.07507313159,0.40425360920000003,0.03222278492,0.0484,0.1072536824,0.9708509151,0.9348675865,0.01905304305,0.3043050558,0.0,165230,Sulawesi Barat,0.693739279942
7207,0.11310085430000001,0.48944021509999996,0.034076955889999996,0.07454006276,4.455071546,0.06342671235,0.3456644747,0.0212273215,0.16649999999999998,0.06813760138,0.9814873463000001,0.8009673797000001,0.03201566234,0.261739556,0.09296634325,155593,Sulawesi Tengah,0.693887614768
9401,0.09148393998,0.4868791824,0.03581877587,0.1134509081,3.904694218,0.05303149952,0.37698675319999997,0.01568960341,0.1081,0.09666935439999999,0.9957181714,0.9876107747999999,0.1302623497,0.07838904975,0.04352022462,223389,Papua Tengah,0.69461932888
7212,0.09429921363,0.475861167,0.04970817598,0.0915547025,3.913435701,0.0607165707,0.3473799752,0.02320936088,0.1573,0.051905269049999994,0.9922264875000001,0.8199296225,0.0060140755,0.2047984645,0.07197696737,122985,Sulawesi Tengah,0.6951692926965
1808,0.1051775956,0.4819444444,0.03384790528,0.06698556405,3.758311156,0.0389608167,0.3776828095,0.012043886989999999,0.1009,0.06792771612,0.9978863778,0.9808918287999999,0.04009036377,0.05668272563000001,0.00134347644,440511,Lampung,0.6953649531049999
7405,0.1036607514,0.49077052109999997,0.03634334322,0.09862676723,4.093125726,0.016503122210000002,0.33744697879999996,0.01343907138,0.1114,0.1135749073,0.9960803395000001,0.9177006461,0.00293298732,0.16134133479999999,0.0,304214,Sulawesi Tenggara,0.6956260926429999
7304,0.09325121274,0.5171454097,0.059909437280000005,0.17717814969999998,4.155734956,0.0,0.399831632,0.0062078016,0.154,0.18345134940000002,0.9980569274,0.9117752513,0.00550537236,0.2995570257,0.1469448653,359787,Sulawesi Selatan,0.69569652585
3503,0.06542128930999999,0.5031261955,0.0951760876,0.1509325466,3.463648182,0.0,0.4379213437,0.00239889943,0.12960000000000002,0.07204600712,0.9841592079999999,0.8103855193,0.00403520176,0.1366868343,0.05603780189,693104,Jawa Timur,0.6958324577549999
5206,0.10769655889999999,0.5020724564,0.05313862012000001,0.1450639557,3.78812558,0.01761258654,0.31633338380000003,0.01082464792,0.151,0.1309777407,0.9940128308,0.8932301373,0.01082448475,0.276646868,0.05909454969,478967,Nusa Tenggara Barat,0.695899723955
1706,0.10761724040000001,0.47973976690000003,0.02891298455,0.08565436791,4.029316032,0.01299779365,0.36696055559999996,0.02364675452,0.122,0.06221749696,0.9750966643,0.6691133102000001,0.05168534417,0.0974943749,0.0,185499,Bengkulu,0.6964237333859999
1610,0.09323573132,0.49917788710000005,0.04565355588,0.1383117665,3.87586028,0.04989857261,0.4377736341,0.01317005336,0.1358,0.045197814559999994,0.9959151158999999,0.9420891264,0.04753656481,0.2655267277,0.09826878722,419773,Sumatera Selatan,0.696488325623
1809,0.09432143416000001,0.48427477609999997,0.053734941980000006,0.08749298443,3.811666901,0.01378560404,0.35854059169999997,0.010719711540000001,0.1648,0.07053384309,0.9959309666999999,0.8746579907,0.03357829381,0.19649747439999998,0.06540269398000001,435827,Lampung,0.6965222527695
3218,0.07526630998,0.5016714864,0.08293309746000001,0.1528448886,3.105052333,0.00356496419,0.4657125311,0.0056696561999999995,0.1,0.028682077060000002,0.9731014402,0.796600299,0.02152356969,0.1312190131,0.0128826631,395098,Jawa Barat,0.697704348558
7602,0.08755758232,0.5096014967,0.05057506972,0.1708700951,4.205108457,0.005391177190000001,0.409137764,0.00777366049,0.1605,0.1311119693,0.9983914209,0.9707433584999999,0.02633195223,0.2877406776,0.1419254204,432692,Sulawesi Barat,0.698119388647
3602,0.10053601690000001,0.48769058620000005,0.04072344003,0.1238811239,3.84715973,0.00252195869,0.5105657805,0.0069234214900000006,0.0864,0.0651277232,0.9947347007,0.8996661322,0.00563028026,0.3295449106,0.056015604430000004,1288103,Banten,0.6984247035929999
1102,0.1351717522,0.4968611677,0.022964808049999997,0.1316721954,4.479568758,0.0107433655,0.287247149,0.022879371029999998,0.2211,0.1098267021,0.9790033172,0.7308504222000001,0.0667973462,0.2001281665,0.1340470446,119490,Aceh,0.698769658155
5313,0.11940676310000001,0.5110400858999999,0.033812550319999995,0.1488827732,4.675612086,0.1578376991,0.40571157339999997,0.01576146929,0.2191,0.08503409606,0.9944815982,0.8943803561999999,0.040368463830000006,0.19107644480000002,0.3493134081,329198,Nusa Tenggara Timur,0.6989532913809999
1701,0.09222859427999999,0.49740351060000004,0.05133630505,0.10809682799999999,4.043640442,0.00276502504,0.2775957188,0.010402108080000002,0.21059999999999998,0.05873365549,0.9935308848,0.8092132721,0.061326168609999995,0.1565369366,0.06649102671,155427,Bengkulu,0.6991157941905
1605,0.07370338057999999,0.4880899997,0.04172124622,0.08144463413,3.857430192,0.0093993446,0.4046562805,0.012536694,0.1424,0.06543467516,1.0,0.9441435608000001,0.02784482251,0.14737740629999999,0.0717901925,394384,Sumatera Selatan,0.699244526231
7318,0.1077238498,0.4940461,0.06594490318,0.1944524593,4.447131014,0.0767691923,0.2665778018,0.00558857348,0.12619999999999998,0.1392907004,0.9806297728,0.9967299516999999,0.03673995422,0.11531729090000001,0.06688210514,231519,Sulawesi Selatan,0.699282307238
1202,0.1202922285,0.5091806106,0.03706001496,0.190871856,4.285711493,0.07469281224999999,0.34326544589999997,0.00953812452,0.11019999999999999,0.04306623281,0.9793057606000001,0.8505654991999999,0.1266190285,0.6264675119,0.026530073609999996,439505,Sumatera Utara,0.6993577004655
1803,0.09857429778,0.4872793514,0.0461073654,0.1153212896,3.756986123,0.0011988133300000002,0.33802816900000004,0.01030253214,0.1516,0.05631909524,1.0,0.9805761891,0.01495102316,0.09286250825,0.02193145519,992763,Lampung,0.6995144387359999
6101,0.11125670039999999,0.5079837772,0.05529179311,0.1894341788,4.101059994,0.0065677752499999995,0.4246740072,0.00591980892,0.0859,0.09224687954,0.9987205633,0.9725890372000001,0.01352325861,0.07799136186,0.021068058280000003,529684,Kalimantan Barat,0.6995919235949999
3329,0.08255669956,0.497445775,0.06202313795,0.1564561614,3.807389929,0.0,0.4900352747,0.00402817443,0.19140000000000001,0.1068838115,0.9982451412000001,0.9399273866,0.00981617483,0.1859471251,0.23426197259999998,1796004,Jawa Tengah,0.6998945315899999
3326,0.08549185313,0.5032668878,0.05730731579000001,0.1713974733,4.204654125,0.0,0.43858626469999995,0.007378647459999999,0.1261,0.09021575886000001,0.9871574284000001,0.948529901,0.01714402502,0.1497808873,0.08668973449999999,886197,Jawa Tengah,0.700187643366
1175,0.1188369153,0.4982185956,0.01400860693,0.1321960436,4.351466993,0.01155812403,0.2714616434,0.022703787979999997,0.1971,0.09505383824000001,0.9981662592,0.8311847077,0.0754612136,0.1958768615,0.08362969549,78725,Aceh,0.700306992046
7317,0.1080038817,0.5081585868,0.05316231383,0.20967394469999998,4.505151243,0.06761877004,0.2919977733,0.00847301919,0.1401,0.1036995692,0.9976683183,0.8974186763,0.02061764221,0.2950464436,0.07636257651,356305,Sulawesi Selatan,0.700364159919
